aback                                    смущенный,захваченный врасплох
abandon                                  непринужденность,отказываться от,покидать,бросать
abase                                    понижать (в чине),унижать
abashed                                  смущенный,сконфуженный,пристыженный
abate                                    уменьшать,сбавлять (цену),уменьшаться,ослабевать,стихать
abbey                                    аббатство
abbot                                    аббат
abbreviate                               сокращать
abbreviation                             сокращение
abdicate                                 отрекаться (от престола),отказываться (от прав и т д)
abdication                               отречение
abdomen                                  живот (анат),брюшная полость
abdominal                                брюшной
abduct                                   уводить силой,похищать
abduction                                похищение,увод
abend                                    аварийное завершение, авост
aberration                               уклонение от правильного пути,заблуждение,аберрация
abet                                     подстрекать,содействовать (обыкн дурному)
abetment                                 подстрекательство
abettor                                  подстрекатель
abeyance                                 быть временно отмененным (о законе,праве и т д)
abhor                                    питать отвращение
abhorrence                               отвращение
abide                                    выносить,терпеть,жить,пребывать
ability                                  способность,умение,одаренность
abject                                   жалкий,презренный
abjure                                   отрекаться
ablative                                 творительный падеж (грамматич)
ablaze                                   в огне
able                                     способный,быть в состоянии,мочь
able bodied                              крепкий,здоровый,годный
ablution                                 омовение
ably                                     умело
abnormal                                 из ряда вон выходящий,ненормальный,аномальный,аварийный
abnormal termination                     аварийное завершение, авост
aboard                                   на корабль,на поезд,на корабле,на поезде
abode                                    (книжн)жилище,местопребывание,(прош вр от выносить,терпеть)
abolish                                  отменять,упразднять,уничтожать
abolition                                отмена,упразднение,уничтожение
abominable                               отвратительный,противный
abomination                              отвращение
aboriginal                               исконный,туземный,туземец
abort                                    прерывать выполнение программы
abort                                    выкидывать,преждевременно родить;прерывать выполнение программы
abortion                                 аборт,выкидыш
abortive                                 неудачный,бесплодный
abound                                   изобиловать,кишеть
about                                    вокруг,по,при,около (в отношении места),около (в отн времени)
above                                    над,выше,свыше,наверху,наверх,ранее,до,как выше сказано
abrasion                                 ссадина,снашивание
abrasive                                 наждачная бумага,шлифовальный материал
abreast                                  в ряд
abridge                                  сокращать
abridgement                              сокращение
abroad                                   за границей,за границу,широко,повсюду
abrogate                                 отменять (закон и т д)
abrogation                               отмена (закона и т д)
abrupt                                   внезапный,обрывистый,крутой,резкий,отрывистый
abruptness                               крутизна,резкость,отрывистость
abscess                                  нарыв
abscond                                  скрыться (украв что либо)
absence                                  неявка,отсутствие
absent                                   отсутствующий,рассеянный,уклоняться (от)
absent minded                            рассеянный
absentee                                 отсутствующий,прогулявший (работу и т д)
absently                                 рассеянно
absolute                                 абсолютный,безусловный,неограниченный
absolute code                            машинный код, программа в машинном коде
absolute coding                          программирование в машинном коде
absolute coordinates                     абсолютные координаты
absolute error                           абсолютная ошибка; абсолютная погрешность
absolute expression                      абсолютное выражение
absolute loader                          абсолютный загрузчик
absolute pathname                        полное составное имя файла или каталога
absolute program                         программа в абсолютных адресах
absolute term                            абсолютный терм, значение которого не зависит от положения программы в памяти
absolute value(abs)                      абсолютная величина; абсолютное значение
absolute vector                          абсолютный вектор
absolutely                               совершенно,абсолютно
absolution                               прощение
absolve                                  прощать,освобождать (от обязательств)
absorb                                   всасывать,поглощать
absorbent                                всасывающий
absorbing                                увлекательный,захватывающий
absorption                               поглощение,погруженность (в мысли,заботы)
abstain from                             воздерживаться
abstainer                                трезвенник
abstemious                               умеренный (в пище,питье)
abstention                               воздержание
abstinence                               воздержание
abstract                                 отнимать,абстрагировать,составлять реферат; отвлеченный,абстрактный; резюме,извлечение,абстракция,реферат
abstract data type                       абстрактный тип данных
abstract machine                         абстрактная машина
abstract semantic network                абстрактная семантическая сеть
abstracted                               отдаленный,рассеянный
abstraction                              отвлечение,абстракция,рассеянность
abstruse                                 трудный для понимания,глубокий (о мыслях)
absurd                                   нелепый
abundance                                изобилие
abundant                                 обильный,богатый,изобилующий
abuse                                    злоупотребление,оскорбление,злоупотреблять,оскорблять
abusive                                  оскорбительный
abut                                     примыкать,граничить
abysmal                                  бездонный
abyss                                    пучина,пропасть
abyssinia                                абиссиния
acacia                                   акация
academic                                 академический
academical                               академический
academician                              академик
academy                                  академия,учебное заведение
accede                                   вступать (в должность),примыкать,соглашаться
accelerate                               ускорять
acceleration                             ускорение
acceleration time                        время разгона
accent                                   ударение,произношение,акцент,делать ударение
accent                                   знак ударения; диакритический знак
accentuate                               делать ударение,подчеркивать,выделять
accept                                   принимать,допускать
acceptable                               приемлемый
acceptance                               принятие,прием,акцепт
acceptance sampling                      выборочный контроль при приемке
acceptance testing                       испытания при приемке
access                                   доступ,обращение; проход; приступ(гнева,болезни); обращаться
access  method                           метод  доступа
access address                           указатель, ссылка(см. pointer)
access control                           контроль доступа, управление доступом
access cycle                             цикл обращения
access lock                              блокировка доступа
access matrix                            матрица права доступа
access mode                              режим доступа
access path                              путь доступа
access restriction                       ограничение доступа
access right                             право доступа
access scan                              поиск, поиск с перебором
access time                              время доступа
access-control mechanism                 средства контроля доступом
access-oriented method                   вычисления, управляемые обращениями к данным
accessary                                соучастник
accessibility                            доступность
accessible                               доступный
accession                                вступление (в должность),добавление,согласие
accessory                                добавочный,вспомогательный,побочный,соучастник
accidence                                морфология (грам)
accident                                 случай,случайность,несчастный случай,авария
accidental                               случайный
acclaim                                  шумно приветствовать,провозглашать
acclamation                              шумное одобрение,овация
acclimatize                              акклиматизировать
accommodate                              приспособлять,давать пристанище
accommodation                            приспособление,удобство,приют
accompany                                сопровождать,аккомпанировать
accomplice                               сообщник,соучастник
accomplish                               совершать,выполнять
accomplished                             законченный,хорошо образованный,культурный
accomplishment                           завершение,выполнение,достижение,образование,знания; хорошие манеры
accord                                   согласие,соглашение,аккорд,согласовать,предоставлять
accordance                               согласие
according to                             согласно
accordingly                              соответственно,таким образом
accordion                                аккордеон,гармоника
accost                                   обратиться (к кому либо),заговорить (с кем либо)
account                                  бюджет
account                                  счет,отчет,доклад,фактура,бюджет;считать
accountable                              объяснимый,ответственный,подотчетный
accountant                               бухгалтер
accounting                               учет системных ресурсов
accounting file                          учетный файл, файл бюджетов
accounting information                   учетная информация=информация о бюджете (account) пользователей
accounting system                        система учета (использования) ресурсов;учетная система, бюджетная система
